CreditScore,Age,Tenure,Balance,NumOfProducts,IsActiveMember,EstimatedSalary,Geography_Germany,Gender_Male
597.0,34.0,8.0,95837.86,1.0,0.0,102076.03,0,1
669.0,57.0,2.0,111369.79,1.0,1.0,75578.67,0,1
642.0,30.0,8.0,0.0,1.0,0.0,149139.13,0,1
604.0,34.0,3.0,0.0,2.0,0.0,177613.19,0,0
850.0,28.0,7.0,0.0,2.0,0.0,74878.68,0,0
582.0,34.0,8.0,0.0,2.0,1.0,179834.45,0,0
678.0,42.0,8.0,76911.7,2.0,0.0,46811.77,1,1
718.0,35.0,3.0,0.0,2.0,0.0,168816.22,0,1
703.0,36.0,10.0,0.0,2.0,0.0,149913.84,0,1
748.0,57.0,2.0,120875.23,1.0,1.0,9984.4,1,0
592.0,21.0,7.0,0.0,1.0,1.0,96864.36,0,1
539.0,34.0,5.0,0.0,1.0,0.0,167523.31,0,0
607.0,28.0,1.0,0.0,2.0,1.0,152210.81,0,0
607.0,39.0,7.0,0.0,2.0,0.0,172576.43,0,1
605.0,33.0,6.0,0.0,2.0,0.0,93081.87,0,0
647.0,25.0,9.0,0.0,2.0,0.0,75832.53,0,0
679.0,40.0,8.0,0.0,2.0,1.0,88705.14,0,0
619.0,28.0,3.0,0.0,2.0,0.0,52876.41,0,0
719.0,38.0,1.0,174853.46,1.0,0.0,145700.22,0,1
679.0,32.0,4.0,0.0,2.0,1.0,60584.33,0,1
687.0,46.0,9.0,0.0,2.0,0.0,85421.48,0,0
677.0,28.0,1.0,112465.07,1.0,0.0,77965.44,1,0
697.0,26.0,7.0,0.0,2.0,0.0,140168.36,0,1
741.0,32.0,4.0,90727.16,1.0,1.0,166513.49,0,1
559.0,44.0,6.0,0.0,2.0,0.0,26691.41,0,1
699.0,40.0,2.0,0.0,2.0,0.0,93829.72,0,1
579.0,37.0,5.0,0.0,2.0,1.0,80552.11,0,0
624.0,33.0,6.0,0.0,2.0,0.0,170829.87,0,1
712.0,42.0,7.0,0.0,2.0,0.0,121428.4,0,0
516.0,37.0,3.0,0.0,2.0,0.0,106981.03,0,1
621.0,29.0,3.0,121470.84,2.0,0.0,78650.95,1,0
628.0,46.0,1.0,104339.11,1.0,0.0,161653.5,1,0
705.0,35.0,7.0,0.0,2.0,1.0,125870.5,0,1
656.0,36.0,6.0,0.0,2.0,0.0,93713.92,0,0
715.0,40.0,7.0,0.0,2.0,0.0,141364.27,0,1
667.0,57.0,3.0,0.0,1.0,1.0,147955.91,0,0
594.0,37.0,8.0,0.0,2.0,1.0,151315.76,0,0
599.0,21.0,2.0,157084.99,1.0,1.0,136540.09,0,1
584.0,31.0,3.0,0.0,2.0,1.0,115468.76,0,1
569.0,37.0,8.0,90145.04,2.0,0.0,171960.76,1,1
678.0,42.0,7.0,141782.57,4.0,0.0,177670.57,0,1
719.0,34.0,3.0,161254.81,1.0,0.0,134878.19,0,0
551.0,32.0,7.0,100337.96,2.0,1.0,173844.89,1,0
558.0,31.0,7.0,120911.75,1.0,1.0,113428.77,0,1
678.0,35.0,9.0,0.0,2.0,0.0,143096.49,0,0
709.0,33.0,2.0,0.0,1.0,0.0,108008.05,0,1
664.0,30.0,5.0,0.0,2.0,0.0,48986.18,0,1
642.0,40.0,5.0,0.0,2.0,1.0,53478.02,0,1
516.0,57.0,2.0,0.0,1.0,0.0,162697.93,0,0
731.0,57.0,3.0,0.0,2.0,1.0,138542.81,0,0
705.0,33.0,9.0,0.0,2.0,1.0,176576.62,0,0
638.0,41.0,9.0,0.0,2.0,0.0,121440.8,0,0
596.0,31.0,5.0,81723.31,1.0,1.0,71672.86,0,0
642.0,37.0,1.0,0.0,2.0,1.0,55775.72,0,1
651.0,29.0,1.0,117412.53,1.0,0.0,166324.79,0,1
575.0,56.0,0.0,0.0,2.0,1.0,62905.29,0,0
648.0,39.0,1.0,0.0,2.0,1.0,95140.62,0,1
678.0,39.0,5.0,0.0,2.0,0.0,171668.2,0,1
707.0,32.0,9.0,118616.54,1.0,1.0,70774.97,1,0
724.0,35.0,3.0,135927.05,1.0,1.0,196673.28,1,1
673.0,46.0,3.0,0.0,1.0,0.0,158937.77,0,0
691.0,57.0,1.0,0.0,2.0,1.0,94820.85,0,0
610.0,57.0,9.0,0.0,1.0,1.0,93336.3,0,1
598.0,30.0,4.0,79523.13,2.0,1.0,141679.73,1,1
717.0,36.0,4.0,0.0,1.0,0.0,181605.85,0,1
762.0,32.0,8.0,129834.67,2.0,1.0,135959.15,1,1
676.0,33.0,8.0,0.0,2.0,0.0,152992.04,0,1
659.0,38.0,7.0,0.0,2.0,0.0,102992.84,0,1
661.0,47.0,8.0,122267.85,1.0,1.0,187640.3,0,1
658.0,36.0,5.0,0.0,2.0,1.0,84760.32,0,1
611.0,31.0,6.0,0.0,1.0,1.0,88890.05,0,0
678.0,38.0,2.0,127841.52,1.0,1.0,71047.51,0,1
701.0,40.0,2.0,92887.06,1.0,0.0,126012.57,1,1
678.0,33.0,9.0,0.0,1.0,0.0,100200.4,0,0
635.0,56.0,5.0,0.0,1.0,0.0,117038.96,0,0
674.0,42.0,10.0,0.0,2.0,0.0,184514.01,0,0
636.0,47.0,1.0,0.0,1.0,0.0,133086.45,0,0
731.0,30.0,3.0,123378.2,1.0,0.0,134878.34,1,0
683.0,35.0,8.0,144953.31,2.0,0.0,93717.55,0,0
685.0,47.0,5.0,123971.16,1.0,1.0,28204.98,1,0
609.0,35.0,6.0,143966.1,1.0,1.0,143628.28,0,0
726.0,46.0,5.0,106486.66,1.0,1.0,131281.29,0,1
646.0,41.0,1.0,138718.92,2.0,0.0,43486.73,0,1
709.0,34.0,10.0,93716.72,1.0,0.0,142995.32,0,0
606.0,31.0,8.0,0.0,1.0,0.0,106918.67,0,1
703.0,37.0,4.0,101465.31,1.0,0.0,187980.21,0,1
559.0,42.0,10.0,0.0,2.0,0.0,150159.95,0,0
712.0,41.0,8.0,0.0,2.0,0.0,57589.29,0,0
709.0,52.0,10.0,123916.65,1.0,1.0,150401.53,0,1
610.0,28.0,6.0,0.0,2.0,0.0,136983.77,0,1
556.0,30.0,4.0,107500.66,1.0,1.0,71420.16,0,1
735.0,38.0,2.0,0.0,2.0,0.0,51670.82,0,0
597.0,35.0,1.0,0.0,1.0,0.0,125918.17,0,1
592.0,44.0,3.0,0.0,2.0,1.0,153605.75,0,1
676.0,41.0,2.0,165610.41,1.0,0.0,152740.16,0,1
565.0,26.0,2.0,118889.66,1.0,1.0,132973.21,0,0
679.0,40.0,3.0,0.0,3.0,1.0,173632.92,0,1
669.0,37.0,8.0,93791.38,2.0,1.0,155876.06,0,0
571.0,30.0,2.0,161889.79,1.0,1.0,70954.41,0,1
588.0,34.0,2.0,116978.96,1.0,0.0,144290.97,0,1
586.0,57.0,6.0,0.0,2.0,1.0,149550.97,0,0
705.0,30.0,5.0,0.0,2.0,1.0,172586.89,0,0
825.0,48.0,5.0,0.0,2.0,1.0,103560.98,0,0
684.0,27.0,4.0,150635.3,1.0,0.0,93717.55,1,0
613.0,36.0,2.0,0.0,1.0,0.0,62390.59,0,0
766.0,43.0,4.0,127076.68,2.0,1.0,152790.92,1,1
641.0,32.0,4.0,0.0,2.0,1.0,91574.92,0,1
732.0,41.0,4.0,113781.5,2.0,0.0,92811.2,0,1
707.0,38.0,8.0,104678.62,1.0,1.0,107964.35,0,1
731.0,42.0,9.0,0.0,1.0,0.0,109184.24,0,0
727.0,24.0,2.0,0.0,2.0,1.0,24302.95,0,0
586.0,44.0,3.0,106937.27,2.0,0.0,153064.4,1,0
596.0,40.0,6.0,0.0,2.0,1.0,10350.74,0,1
613.0,37.0,1.0,0.0,2.0,0.0,73334.43,0,1
714.0,38.0,5.0,146050.97,2.0,1.0,71333.44,1,1
613.0,32.0,9.0,0.0,2.0,0.0,74425.41,0,0
597.0,32.0,8.0,0.0,2.0,1.0,79329.7,0,1
544.0,45.0,4.0,123374.46,1.0,0.0,77272.62,0,1
684.0,29.0,2.0,0.0,2.0,1.0,64729.51,0,0
676.0,25.0,9.0,146777.44,1.0,0.0,83629.6,0,0
741.0,40.0,0.0,0.0,1.0,1.0,136540.09,0,1
684.0,34.0,2.0,139859.55,2.0,1.0,121789.3,0,1
638.0,49.0,4.0,106947.58,1.0,0.0,101371.72,1,0
644.0,45.0,6.0,123599.49,1.0,0.0,166677.35,1,0
717.0,24.0,4.0,122549.64,2.0,0.0,97932.45,1,1
819.0,38.0,1.0,0.0,2.0,0.0,177613.19,0,0
683.0,33.0,8.0,142574.71,1.0,1.0,82709.8,1,1
593.0,40.0,8.0,183579.24,1.0,0.0,166586.99,0,0
696.0,23.0,4.0,132623.6,2.0,0.0,159800.16,1,1
755.0,28.0,7.0,0.0,2.0,1.0,82662.73,0,0
651.0,49.0,9.0,0.0,1.0,1.0,180693.61,0,1
714.0,35.0,3.0,0.0,2.0,0.0,180551.76,0,0
648.0,43.0,9.0,106242.67,1.0,0.0,74846.67,1,0
638.0,40.0,1.0,111589.33,2.0,1.0,53437.1,1,1
531.0,35.0,6.0,0.0,2.0,1.0,83022.92,0,0
697.0,45.0,9.0,0.0,1.0,0.0,174431.01,0,0
695.0,25.0,6.0,0.0,1.0,1.0,90878.13,0,0
641.0,39.0,8.0,117307.57,1.0,1.0,114448.13,0,0
649.0,40.0,2.0,0.0,2.0,1.0,127095.14,0,0
579.0,35.0,6.0,161814.64,1.0,1.0,110916.15,0,0
663.0,50.0,4.0,107556.06,3.0,0.0,170886.89,1,1
669.0,38.0,2.0,0.0,2.0,0.0,86675.22,0,0
685.0,46.0,8.0,126428.36,1.0,1.0,129964.94,0,0
621.0,47.0,4.0,0.0,1.0,1.0,125979.36,0,0
567.0,36.0,6.0,0.0,2.0,1.0,138849.06,0,1
636.0,39.0,9.0,136364.46,1.0,0.0,166038.28,0,0
778.0,28.0,6.0,0.0,2.0,1.0,73371.65,0,1
597.0,37.0,2.0,125850.53,1.0,1.0,62487.97,0,1
643.0,28.0,5.0,125338.8,2.0,0.0,71173.64,0,0
748.0,29.0,4.0,120867.18,1.0,1.0,162719.69,0,1
679.0,40.0,1.0,112281.6,1.0,0.0,62688.55,1,0
692.0,30.0,7.0,0.0,2.0,0.0,180345.44,0,1
524.0,26.0,4.0,130935.56,1.0,1.0,160546.59,0,1
667.0,55.0,5.0,149961.99,1.0,1.0,178045.97,0,1
667.0,34.0,7.0,0.0,2.0,1.0,126761.2,0,1
614.0,41.0,8.0,136525.99,1.0,0.0,136592.24,0,0
611.0,43.0,2.0,0.0,2.0,1.0,172618.52,0,0
718.0,38.0,3.0,0.0,2.0,0.0,127559.83,0,1
620.0,44.0,6.0,0.0,1.0,0.0,102908.63,0,0
699.0,51.0,9.0,121927.92,1.0,1.0,35608.88,1,1
613.0,51.0,3.0,0.0,2.0,1.0,52629.73,0,0
755.0,37.0,1.0,0.0,2.0,1.0,84760.32,0,0
738.0,26.0,9.0,0.0,2.0,1.0,126562.84,0,0
596.0,40.0,1.0,0.0,1.0,0.0,120593.39,0,1
637.0,35.0,0.0,123544.0,1.0,1.0,24482.16,0,1
678.0,37.0,9.0,0.0,2.0,0.0,180345.44,0,1
596.0,45.0,1.0,0.0,1.0,1.0,147822.61,0,0
696.0,35.0,7.0,100548.67,1.0,0.0,120890.02,0,1
652.0,41.0,3.0,126547.8,1.0,0.0,64849.74,1,0
627.0,43.0,7.0,0.0,1.0,0.0,61315.37,0,1
581.0,34.0,5.0,127837.54,1.0,1.0,169802.73,1,0
598.0,40.0,4.0,0.0,1.0,0.0,176984.34,0,0
575.0,32.0,10.0,150358.97,2.0,0.0,113557.7,1,1
572.0,43.0,8.0,0.0,1.0,0.0,177747.03,0,1
559.0,42.0,8.0,0.0,2.0,0.0,66893.28,0,1
609.0,34.0,6.0,0.0,2.0,1.0,150475.13,0,1
634.0,26.0,8.0,0.0,2.0,1.0,125445.8,0,1
567.0,32.0,6.0,0.0,2.0,0.0,93832.33,0,1
721.0,36.0,1.0,0.0,2.0,1.0,158887.09,0,1
735.0,40.0,0.0,123081.84,1.0,0.0,91561.91,0,1
697.0,43.0,8.0,125724.95,1.0,1.0,48571.14,1,1
479.0,34.0,5.0,0.0,2.0,1.0,60988.21,0,1
794.0,32.0,6.0,102278.71,1.0,1.0,120853.83,0,0
727.0,34.0,5.0,0.0,2.0,0.0,123587.85,0,0
584.0,36.0,3.0,137222.77,1.0,0.0,133871.83,0,1
554.0,28.0,8.0,0.0,2.0,0.0,80552.36,0,1
597.0,28.0,0.0,0.0,2.0,0.0,162960.05,0,0
738.0,31.0,4.0,0.0,2.0,1.0,162683.06,0,1
673.0,29.0,7.0,126728.85,2.0,1.0,62700.08,1,1
651.0,29.0,7.0,0.0,2.0,1.0,50695.93,0,0
753.0,24.0,5.0,0.0,2.0,1.0,116886.59,0,1
730.0,34.0,5.0,133467.77,1.0,0.0,90174.83,1,0
637.0,55.0,5.0,140894.06,1.0,1.0,189607.71,1,1
698.0,35.0,7.0,0.0,2.0,1.0,80698.54,0,1
696.0,28.0,6.0,126679.69,1.0,1.0,128799.86,1,1
594.0,54.0,10.0,0.0,2.0,1.0,70563.9,0,1
739.0,47.0,9.0,123428.98,2.0,0.0,182076.97,1,1
684.0,28.0,9.0,0.0,2.0,0.0,112202.64,0,0
685.0,25.0,5.0,0.0,2.0,1.0,14081.64,0,1
607.0,28.0,7.0,0.0,2.0,0.0,158420.14,0,0
734.0,22.0,4.0,0.0,2.0,0.0,63795.8,0,0
771.0,40.0,2.0,0.0,1.0,0.0,62700.08,0,0
730.0,39.0,4.0,0.0,2.0,1.0,152210.81,0,1
673.0,39.0,9.0,0.0,2.0,1.0,183387.12,0,1
637.0,38.0,2.0,0.0,2.0,1.0,141035.65,0,1
744.0,35.0,10.0,0.0,2.0,0.0,180329.83,0,0
727.0,47.0,1.0,0.0,1.0,1.0,109960.4,0,1
809.0,31.0,7.0,0.0,2.0,1.0,166520.96,0,1
573.0,30.0,10.0,114035.39,2.0,0.0,125848.88,1,1
703.0,41.0,2.0,0.0,2.0,1.0,122381.02,0,0
562.0,43.0,2.0,124577.33,2.0,1.0,162889.1,1,1
590.0,37.0,2.0,0.0,1.0,0.0,150218.11,0,0
714.0,27.0,5.0,0.0,2.0,1.0,46811.77,0,1
558.0,40.0,4.0,0.0,1.0,1.0,152298.28,0,1
596.0,46.0,2.0,0.0,2.0,1.0,74878.96,0,1
678.0,29.0,3.0,107467.56,2.0,0.0,155879.57,1,1
597.0,27.0,5.0,125476.31,1.0,0.0,178067.33,0,1
684.0,26.0,9.0,127070.89,1.0,1.0,91810.71,1,1
703.0,38.0,1.0,119658.49,1.0,1.0,52795.56,0,1
684.0,34.0,3.0,0.0,2.0,0.0,94498.82,0,1
561.0,53.0,7.0,0.0,1.0,0.0,141946.92,0,0
814.0,26.0,9.0,161591.11,1.0,0.0,116977.89,0,1
516.0,36.0,3.0,0.0,2.0,1.0,125870.5,0,0
599.0,38.0,6.0,0.0,3.0,0.0,119882.86,0,0
607.0,34.0,1.0,95441.27,1.0,1.0,173498.45,1,1
584.0,35.0,9.0,0.0,2.0,1.0,107769.93,0,1
625.0,41.0,8.0,0.0,2.0,1.0,172097.4,0,1
615.0,57.0,8.0,101060.25,1.0,1.0,177944.64,0,1
583.0,41.0,7.0,0.0,2.0,1.0,82298.59,0,1
686.0,27.0,8.0,146034.74,1.0,0.0,180595.02,0,0
704.0,31.0,8.0,0.0,1.0,0.0,132436.71,0,0
553.0,37.0,2.0,118889.66,2.0,0.0,147040.25,0,1
614.0,39.0,8.0,120107.71,1.0,0.0,176925.69,0,1
662.0,35.0,7.0,0.0,2.0,1.0,57982.41,0,0
631.0,43.0,8.0,0.0,1.0,1.0,103832.58,0,1
756.0,31.0,8.0,0.0,1.0,0.0,144875.7,0,1
656.0,39.0,9.0,137964.51,1.0,0.0,159840.51,0,1
641.0,35.0,3.0,0.0,1.0,1.0,160529.71,0,0
775.0,25.0,6.0,126473.33,1.0,0.0,77511.45,0,0
716.0,23.0,5.0,0.0,2.0,1.0,182784.11,0,0
718.0,47.0,8.0,0.0,2.0,1.0,107964.36,0,1
656.0,33.0,3.0,124513.66,2.0,0.0,143783.46,0,0
717.0,43.0,8.0,0.0,2.0,0.0,142905.43,0,0
516.0,37.0,6.0,0.0,2.0,1.0,151871.84,0,1
561.0,55.0,2.0,122453.97,1.0,1.0,74850.84,0,1
652.0,29.0,5.0,0.0,2.0,0.0,104469.06,0,1
675.0,41.0,10.0,0.0,2.0,1.0,165562.84,0,1
581.0,27.0,9.0,0.0,2.0,1.0,48963.59,0,0
725.0,49.0,8.0,0.0,1.0,1.0,177099.71,0,1
611.0,57.0,3.0,0.0,2.0,1.0,118855.26,0,1
821.0,35.0,8.0,0.0,1.0,1.0,115429.32,0,1
589.0,42.0,6.0,129278.43,1.0,1.0,106837.06,0,1
619.0,36.0,3.0,0.0,2.0,1.0,131660.31,0,0
564.0,32.0,5.0,0.0,2.0,0.0,114957.22,0,0
757.0,57.0,2.0,116711.06,1.0,0.0,132770.11,1,1
712.0,47.0,7.0,0.0,2.0,1.0,138527.56,0,0
762.0,27.0,9.0,0.0,2.0,0.0,87985.2,0,0
682.0,26.0,5.0,88915.85,1.0,0.0,106761.47,0,1
687.0,25.0,0.0,110635.32,1.0,0.0,46811.77,0,1
559.0,46.0,8.0,141287.15,1.0,0.0,77330.36,0,1
710.0,37.0,0.0,0.0,2.0,1.0,180693.61,0,0
679.0,40.0,1.0,0.0,2.0,1.0,162922.65,0,0
747.0,34.0,2.0,0.0,2.0,1.0,181430.91,0,1
751.0,56.0,7.0,123403.85,1.0,0.0,142516.35,1,0
718.0,26.0,3.0,90432.92,1.0,1.0,171706.66,1,1
663.0,51.0,1.0,125534.51,1.0,0.0,152097.02,1,0
724.0,35.0,6.0,0.0,2.0,1.0,153917.41,0,1
755.0,42.0,2.0,0.0,2.0,1.0,89822.48,0,1
699.0,37.0,6.0,0.0,2.0,0.0,131919.48,0,0
521.0,45.0,2.0,115930.87,1.0,0.0,123583.85,1,1
711.0,38.0,9.0,134498.54,1.0,1.0,151733.43,1,1
682.0,34.0,4.0,0.0,2.0,1.0,91573.19,0,1
585.0,38.0,4.0,0.0,1.0,0.0,153373.71,0,1
576.0,27.0,10.0,0.0,2.0,0.0,67848.51,0,1
635.0,27.0,5.0,114731.76,2.0,0.0,171060.01,0,1
633.0,46.0,6.0,140614.15,1.0,0.0,141210.5,1,0
703.0,38.0,2.0,0.0,2.0,0.0,119882.7,0,1
590.0,47.0,0.0,0.0,1.0,1.0,100423.88,0,1
644.0,26.0,3.0,109052.04,1.0,1.0,126394.74,1,1
614.0,34.0,4.0,108867.0,1.0,1.0,113483.96,1,0
632.0,33.0,4.0,0.0,1.0,0.0,153983.99,0,1
577.0,28.0,3.0,0.0,1.0,0.0,126812.63,0,1
588.0,33.0,6.0,105229.34,2.0,0.0,61324.87,1,1
649.0,50.0,10.0,0.0,1.0,0.0,174094.24,0,0
721.0,39.0,6.0,69712.74,1.0,0.0,186655.21,1,1
651.0,40.0,6.0,0.0,2.0,0.0,193009.21,0,1
619.0,48.0,2.0,114540.39,1.0,0.0,41970.72,1,1
684.0,23.0,2.0,0.0,2.0,0.0,120512.08,0,1
712.0,40.0,5.0,0.0,2.0,0.0,88852.43,0,1
584.0,29.0,8.0,0.0,2.0,1.0,85901.09,0,0
673.0,39.0,3.0,0.0,2.0,1.0,84420.5,0,1
646.0,41.0,8.0,135923.16,1.0,1.0,184843.77,0,1
624.0,40.0,3.0,0.0,1.0,0.0,138527.56,0,1
689.0,21.0,5.0,0.0,2.0,1.0,92794.61,0,1
558.0,51.0,2.0,108166.09,2.0,1.0,19199.61,1,1
730.0,29.0,5.0,0.0,2.0,0.0,169920.92,0,1
604.0,33.0,3.0,0.0,2.0,0.0,125870.5,0,1
627.0,32.0,5.0,0.0,2.0,1.0,184350.78,0,1
724.0,44.0,1.0,0.0,2.0,0.0,143482.28,0,1
627.0,32.0,4.0,0.0,2.0,0.0,88727.63,0,0
659.0,42.0,1.0,0.0,2.0,1.0,79734.23,0,1
543.0,57.0,6.0,133970.22,1.0,1.0,15650.89,0,1
690.0,27.0,7.0,0.0,2.0,1.0,141822.8,0,1
708.0,33.0,5.0,0.0,2.0,1.0,27654.44,0,1
745.0,42.0,8.0,0.0,2.0,0.0,135925.72,0,0
526.0,57.0,4.0,0.0,1.0,1.0,175820.91,0,1
645.0,30.0,10.0,0.0,2.0,0.0,126511.94,0,0
683.0,30.0,7.0,0.0,1.0,0.0,143301.49,0,0
653.0,49.0,9.0,0.0,2.0,0.0,52861.89,0,1
726.0,38.0,5.0,0.0,2.0,0.0,54495.82,0,0
712.0,52.0,4.0,85982.07,1.0,0.0,145796.49,1,0
596.0,40.0,0.0,0.0,1.0,1.0,142763.51,0,1
694.0,25.0,9.0,148874.01,2.0,1.0,114869.55,1,0
696.0,36.0,7.0,152324.66,1.0,0.0,107876.2,0,1
705.0,43.0,5.0,0.0,2.0,0.0,91055.47,0,1
577.0,31.0,2.0,0.0,2.0,0.0,102925.76,0,1
636.0,41.0,7.0,0.0,1.0,0.0,86575.46,0,1
723.0,43.0,4.0,105969.42,1.0,0.0,70532.53,0,1
794.0,47.0,5.0,0.0,1.0,0.0,81861.1,0,1
704.0,57.0,7.0,0.0,1.0,0.0,81718.37,0,0
755.0,57.0,7.0,0.0,2.0,1.0,65763.66,0,1
545.0,35.0,8.0,0.0,1.0,1.0,116816.54,0,1
721.0,38.0,3.0,0.0,2.0,1.0,141446.01,0,0
685.0,39.0,4.0,0.0,2.0,1.0,97939.4,0,0
543.0,33.0,1.0,0.0,2.0,0.0,114323.66,0,1
632.0,43.0,3.0,0.0,2.0,0.0,161668.15,0,1
599.0,34.0,2.0,0.0,2.0,0.0,110440.5,0,0
712.0,31.0,4.0,0.0,2.0,1.0,162697.93,0,1
599.0,39.0,0.0,121669.23,1.0,0.0,125939.18,1,1
705.0,27.0,2.0,141078.37,1.0,1.0,148948.72,0,0
682.0,43.0,6.0,81210.72,2.0,0.0,132973.21,1,1
678.0,25.0,8.0,144961.97,1.0,0.0,180934.67,1,1
716.0,31.0,10.0,186825.57,2.0,0.0,177719.88,1,1
592.0,35.0,9.0,127552.85,2.0,0.0,134822.04,0,0
598.0,29.0,6.0,0.0,1.0,1.0,161069.73,0,0
571.0,43.0,2.0,121827.43,1.0,0.0,52467.91,0,1
548.0,45.0,4.0,0.0,3.0,0.0,169921.11,0,1
739.0,37.0,4.0,0.0,1.0,1.0,171099.22,0,1
684.0,38.0,3.0,0.0,2.0,1.0,105599.65,0,0
710.0,36.0,4.0,0.0,1.0,1.0,93524.19,0,0
709.0,37.0,2.0,0.0,2.0,1.0,44381.06,0,1
685.0,26.0,3.0,0.0,2.0,0.0,81776.84,0,1
744.0,28.0,7.0,0.0,2.0,1.0,134878.19,0,1
682.0,38.0,7.0,0.0,2.0,1.0,126794.56,0,1
732.0,41.0,7.0,134740.21,2.0,1.0,147557.71,1,0
651.0,35.0,7.0,0.0,2.0,1.0,54865.92,0,1
676.0,31.0,8.0,104744.89,1.0,0.0,172524.51,0,1
726.0,28.0,1.0,132876.23,2.0,0.0,111020.24,1,1
651.0,37.0,4.0,0.0,1.0,0.0,167984.72,0,0
636.0,39.0,4.0,123276.71,2.0,1.0,77867.23,1,1
582.0,44.0,2.0,0.0,2.0,0.0,136521.82,0,0
